## AstroNvimV4 @quick @reference
Buffers                             | <leader>b
Commands/Themes                     | <leader>,
Debugger                            | <leader>d
Find                                | <leader>f
Git                                 | <leader>g
Language Tools                      | <leader>l
LSP                                 | <leader>c
Manage Packages/Plugins             | <leader>/
Markdown                            | <leader>m
Packages                            | <leader>p
Session                             | <leader>S
Tabs                                | <leader><tab>
Terminal                            | <leader>t
Toggle Keymaps                      | <leader>.
UI/UX                               | <leader>u
Windows                             | <leader>w
Workspaces                          | <leader>W
Asciiville Command                  | :Asciiville
Asciiville Command                  | <leader>,v
System Monitor                      | :Top
System Monitor                      | <leader>,s
Lazygit Command                     | :Lazygit
Lazygit Command                     | <leader>,g
Open Dashboard                      | <leader>/a
Manage Plugins                      | :Lazy
Manage Plugins                      | <leader>P
Manage Plugins                      | <leader>,p
Manage Plugins                      | <leader>/p
Update Plugins                      | :Lazy update
Update Plugins                      | <leader>U
Update Plugins                      | <leader>,u
Update Plugins                      | <leader>/u
AstroNvimV4 Configuration           | :Astroconf
AstroNvimV4 Configuration           | <leader>,a
AstroNvimV4 Formatters              | :Astroform
AstroNvimV4 Formatters              | <leader>,F
AstroNvimV4 LSP Servers             | :Astrolsp
AstroNvimV4 LSP Servers             | <leader>,L
AstroNvimV4 Plugins                 | :Astroplug
AstroNvimV4 Plugins                 | <leader>,P
Lazyman Menu                        | :Lazyman
Lazyman Menu                        | <leader>,l
Manage Packages                     | :Mason
Manage Packages                     | <leader>M
Manage Packages                     | <leader>/m
MusicPlayerPlus                     | :MusicPlayerPlus
MusicPlayerPlus                     | <leader>,m
MusicPlayerMenu                     | :MusicPlayerMenu
MusicPlayerMenu                     | <leader>,M
Open URL                            | :OpenRepo
Open URL                            | gh
Open URL                            | <leader>,O
Options                             | :options
Options                             | <leader>O
Options                             | <leader>,o
Toggle Color Column                 | <leader>.x
Toggle Conceal Level                | <leader>.c
Toggle Explorer                     | <leader>e
Toggle Explorer Focus               | <leader>o
Toggle Format on Save               | <leader>.f
Toggle Line Numbers                 | <leader>.l
Toggle Mouse                        | <leader>.m
Toggle Number                       | <leader>.N
Toggle Sign Column                  | <leader>.g
Toggle Spelling                     | <leader>.s
Toggle Status Line                  | <leader>.S
Toggle Tab Line                     | <leader>.L
Toggle Transparency                 | <leader>,t
Toggle Transparency                 | <leader>.t
Toggle Word Wrap                    | <leader>.w
Toggle Zen Mode                     | <leader>z
Quit all                            | <leader>Q
Quit all                            | <leader>,q
Other Window                        | <leader>ww
Delete Window                       | <leader>wd
Split Window Below                  | <leader>w-
Split Window Right                  | <leader>w|
Increase Window Height              | <C-Up>
Decrease Window Height              | <C-Down>
Increase Window Width               | <C-Right>
Increase Window Width               | <C-Left>
Last Tab                            | <leader><tab>l
First Tab                           | <leader><tab>f
New Tab                             | <leader><tab><tab>
Next Tab                            | <leader><tab>]
Close Tab                           | <leader><tab>d
